SKU,"PRODUCT NAME",CATEGORY,"PRICE (INR)"
NEWACC00005,"Dell 65Watt Adapter",Accessories,850
NEWACC00006,"Dell 90Watt Adapter",Accessories,1250
NEWACC00004,"Dell Inspiron / Vostro / Latitude - 6 Cell Battery",Accessories,3100
NEWACC00003,"Dell Inspiron 14R/15R 6Cell Battery",Accessories,2000
QCNBBG00271,"DELL LATITUDE E4310(CORE I5 M520 2.40GHZ/4GB/250GB/NO WEBCAM/13.3""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00036,"DELL LATITUDE E5420(Core i5 2430M 2.40GHz/2GB/250GB/NO WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",12000
QCNBBG00226,"DELL LATITUDE E5420(CORE I5 2430M 2.40GHZ/2GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00307,"DELL LATITUDE E5420(CORE I5 2430M 2.40GHZ/2GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00306,"DELL LATITUDE E5420(CORE I5 2430M 2.40GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00273,"DELL LATITUDE E5420(CORE I5 2430M 2.40GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00229,"DELL LATITUDE E5520(CORE I7 2620M 2.70GHZ/8GB/500GB/WEBCAM/15.6""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",23500
QCNBB002325,"DELL LATITUDE E6320(CORE I5 2520M 2.50GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00274,"DELL LATITUDE E6320(CORE I5 2540M 2.60GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00156,"DELL LATITUDE E6320(CORE I7 2620M 2.70GHZ/4GB/250GB/NO WEBCAM/14""/9 CELL BATTERY)(GRADE B)","Pre-Owned Laptops Grade B",20750
QCNBBG00308,"DELL LATITUDE E6320(CORE I7 2620M 2.70GHZ/4GB/250GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBBG00298,"DELL LATITUDE E6410(CORE I5 M520 2.40GHZ/4GB/160GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00234,"DELL LATITUDE E6410(CORE I5 M560 2.67GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00235,"DELL LATITUDE E6410(CORE I5 M560 2.67GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00167,"DELL LATITUDE E6410(CORE I7 M620 2.67GHZ/4GB/250GB/WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",19750
QCNBBG00236,"DELL LATITUDE E6420(CORE I5 2540M 2.60GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)","Pre-Owned Laptops Grade B",13500
QCNBBG00238,"DELL LATITUDE E6420(CORE I5 2540M 2.60GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13500
QCNBBG00278,"DELL LATITUDE E6420(CORE I7 2520M 2.50GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBBG00294,"DELL LATITUDE E6420(CORE I7 2620M 2.70GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBBG00277,"DELL LATITUDE E6420(CORE I7 2640M 2.80GHZ/4GB/250GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBBG00249,"DELL LATITUDE E6420(CORE I7 2640M 2.80GHZ/4GB/320GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBBG00309,"DELL LATITUDE E6420(CORE I7 2640M 2.80GHZ/4GB/500GB/NO WEBCAM/14''/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22500
QCNBBG00241,"DELL LATITUDE E6430(CORE I5 3320M 2.60GHZ/4GB/250GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",14250
QCNBBG00242,"DELL LATITUDE E6430(CORE I5 3320M 2.60GHZ/4GB/320GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",14250
QCNBBG00243,"DELL LATITUDE E6430(CORE I7 3720M 2.60GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",23000
QCNBBG00279,"DELL LATITUDE E6430(CORE I7 3740M 2.70GHZ/4GB/320GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",23000
QCNBBG00246,"DELL LATITUDE E6510(CORE I5 M560 2.67GHZ/4GB/250GB/NO WEBCAM/15.6""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00287,"DELL LATITUDE E6530(CORE I7 3520QM 2.90GHZ/8GB/500GB/NO WEBCAM/15.6""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",24000
QCNBBG00288,"DELL LATITUDE E6530(CORE I7 3740QM 2.70GHZ/4GB/500GB/WEBCAM/15.6""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",24000
QCNBBG00286,"DELL LATITUDE E6530(CORE I7 3740QM 2.70GHZ/8GB/500GB/WEBCAM/15.6""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",24500
QCNBBG00025,"DELL LATITUDE E7440(CORE I7 4600U 2.10GHZ/8GB/240GB SSD/WEBCAM/14"" TOUCH)(GRADE B)","Pre-Owned Laptops Grade B",26750
QCNBBG00247,"DELL LATITUDE E7440(CORE I7 4600U 2.10GHZ/8GB/256GB SSD/WEBCAM/14"" TOUCH/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",28000
QCNBBG00019,"DELL LATITUDE E7440(CORE I7 4600U 2.10GHZ/8GB/512GB SSD/WEB CAM/14"" TOUCH)(GRADE B)","Pre-Owned Laptops Grade B",32000
QCNBBG00248,"DELL LATITUDE E7440(CORE I7 4600U 2.10GHZ/8GB/512GB SSD/WEBCAM/14"" TOUCH/WIN-10 HOME)","Pre-Owned Laptops Grade B",30000
QCNBBG00254,"DELL PRECISION M4600(CORE I7 2640M 2.80GHZ/4GB/320GB/NO WEBCAM/15.6''/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBB002303,"DELL STUDIO 1457(CORE I7 Q720 1.60GHZ/4GB/500GB/WEBCAM/15.6"")(GRADE B)","Pre-Owned Laptops Grade B",25000
QCNBBG00216,"HP ELITEBOOK 840 G1(CORE I7 4600U 2.10GHZ/8GB/240GB SSD/WEBCAM/14"" TOUCH/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",28000
QCNBBG00215,"HP ELITEBOOK 840 G1(CORE I7 4600U 2.10GHZ/8GB/256GB SSD/WEBCAM/14"" TOUCH/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",28000
QCNBBG00190,"HP ELITEBOOK 840 G1(CORE I7 4600U 2.10GHZ/8GB/320GB/WEBCAM/TOUCH/14"")(GRADE B)","Pre-Owned Laptops Grade B",30000
QCNBBG00214,"HP ELITEBOOK 840 G1(CORE I7 4600U 2.10GHZ/8GB/512GB SSD/WEBCAM/14"" TOUCH/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",30000
QCNBBG00071,"HP ELITEBOOK 840 G1(CORE I7 4600U 2.1GHZ/8GB/240GB SSD/WEB CAM/14"" TOUCH)(GRADE B)","Pre-Owned Laptops Grade B",26750
QCNBBG00020,"HP ELITEBOOK 840 G2(CORE I7 5600U 2.10GHZ/8GB/512GB SSD/WEB CAM/14'' TOUCH)(GRADE B)","Pre-Owned Laptops Grade B",32250
QCNBBG00217,"HP ELITEBOOK 840 G2(CORE I7 5600U 2.60GHZ/8GB/512GB SSD/WEBCAM/14"" TOUCH/WIN-10 HOME)","Pre-Owned Laptops Grade B",33500
QCNBBG00108,"HP ELITEBOOK 8560W(CORE I7 2620M 2.70GHZ/4GB/320GB/NO WEBCAM/15.6"")(GRADE B)","Pre-Owned Laptops Grade B",26500
QCNBB002321,"HP PAVILION DV6(CORE I7 2630M 2.00GHZ/4GB/640GB/WEBCAM/15.6""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",23000
QCNBBG00253,"HP PAVILION DV6(CORE I7 Q720 1.60GHZ/6GB/500GB/WEBCAM/15.6""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22500
QCNBBG00318,"HP PROBOOK 4430S(CORE I7 2620M 2.70GHZ/2GB/500GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBBG00066,"HP SPECTRE PRO X360 G1(CORE I7 5600U 2.60GHZ/8GB/512GB SSD/WEBCAM/13.3"" TOUCH/WIN-10 HOME)","Pre-Owned Laptops Grade B",50000
QCNBBG00082,"HP SPECTRE PRO X360 G2(CORE I7 6600U 2.60GHZ/8GB/512GB SSD/WEBCAM/13.3"" TOUCH/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",55000
QCNBB002153,"LENOVO T420(CORE I7 2620M 2.70GHZ/4GB/320GB/WEBCAM/14"")(Grade B)R8-VV60E","Pre-Owned Laptops Grade B",20750
QCNBB002165,"LENOVO T420(CORE I7 2620M 2.70GHZ/4GB/320GB/WEBCAM/14"")(Grade B)R8-VV61X","Pre-Owned Laptops Grade B",20750
QCNBB002154,"LENOVO T420(CORE I7 2620M 2.70GHZ/4GB/320GB/WEBCAM/14"")(Grade B)R8-VV66A","Pre-Owned Laptops Grade B",20750
QCNBB002156,"LENOVO T420(CORE I7 2620M 2.70GHZ/4GB/320GB/WEBCAM/14"")(Grade B)R8-VV67M","Pre-Owned Laptops Grade B",20750
QCNBBG00163,"LENOVO THINKPAD L412(CORE I5 M430 2.27GHZ/4GB/250GB/NO WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",11500
QCNBBG00313,"LENOVO THINKPAD L412(CORE I5 M450 2.40GHZ/2GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00256,"LENOVO THINKPAD L412(CORE I5 M450 2.40GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00168,"LENOVO THINKPAD L412(CORE I5 M520 2.40GHZ/2GB/250GB/NO WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",11500
QCNBBG00312,"LENOVO THINKPAD L412(CORE I5 M520 2.40GHZ/4GB/160GB/NO WEBCAM/14''/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00255,"LENOVO THINKPAD L412(CORE I5 M520 2.40GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00203,"LENOVO THINKPAD L420(CORE I5 2520M 2.50GHZ/4GB/160GB/NO WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",11500
QCNBBG00209,"LENOVO THINKPAD L430(CORE I5 3230M 2.60GHZ/4GB/320GB/NO WEBCAM/14""/9 CELL BATTERY)(GRADE B)","Pre-Owned Laptops Grade B",13000
QCNBBG00053,"LENOVO THINKPAD T410(CORE I5 M520/2.40GHZ/4GB/320GB/NO WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",11500
QCNBBG00261,"LENOVO THINKPAD T410(CORE I5 M540 2.53GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",12750
QCNBBG00281,"LENOVO THINKPAD T420(CORE I5 2520M 2.50GHZ/4GB/320GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",13250
QCNBBG00187,"LENOVO THINKPAD T420(CORE I7 2620M 2.70GHZ/4GB/320GB/WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",26500
QCNBBG00283,"LENOVO THINKPAD T420(CORE I7 2620M 2.70GHZ/4GB/320GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",22000
QCNBBG00195,"LENOVO THINKPAD T420(CORE I7 2640M 2.80GHZ/4GB/500GB/WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",27000
QCNBBG00003,"LENOVO THINKPAD T430(CORE I5 3320M 2.60GHZ/4GB/320GB/NO WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",13000
QCNBBG00186,"LENOVO THINKPAD T430(CORE I5 3320M 2.60GHZ/8GB/320GB/NO WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",14000
QCNBBG00289,"LENOVO THINKPAD T430(CORE I7 3320M 2.60GHZ/8GB/320GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",24000
QCNBBG00207,"LENOVO THINKPAD T440p(CORE I5 4300M 2.60GHZ/4GB/500GB/WEBCAM/14"")(GRADE B)","Pre-Owned Laptops Grade B",18000
QCNBBG00208,"LENOVO THINKPAD W530(CORE I7 3740QM 2.70GHZ/8GB/500GB/WEBCAM/15.6""/9 CELL BATTERY)(GRADE B)","Pre-Owned Laptops Grade B",28500
QCNBB002317,"LENOVO THINKPAD X201(CORE I5 M560 2.67GHZ/2GB/160GB/WEBCAM/12.1"")(GRADE B)","Pre-Owned Laptops Grade B",11000
QCNBBG00322,"LENOVO THINKPAD X230(CORE I5 3320M 2.60GHZ/4GB/240GB SSD/NO WEBCAM/12.5''/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",14250
QCNBBG00300,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/4GB/250GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",16000
QCNBBG00293,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/500GB/NO WEBCAM/12.5""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",17500
QCNBBG00240,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/500GB/WEBCAM/12.5""/WIN-10 HOME)","Pre-Owned Laptops Grade B",17500
QCNBBG00325,"LENOVO THINKPAD X250(CORE I5 5300U 2.30GHZ/8GB/500GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)","Pre-Owned Laptops Grade B",21000
QCNBAG00494,"DELL LATITUDE E5420(CORE I5 2430M 2.40GHz/2GB/250GB/NO WEBCAM/14"")5NP28R1","Pre-Owned Laptops",12000
QCNBAG00506,"DELL LATITUDE-6420(CORE I7 2640M 2.80GHZ/4GB/320GB/WEBCAM/14"")BY70MV1","Pre-Owned Laptops",20750
QCNBAG00696,"HP ELITEBOOK 840 G2(CORE I7 5600U 2.60GHZ/8GB/512GB SSD/WEBCAM/14''TOUCH)","Pre-Owned Laptops",33250
QCNBA000327,"IBM-R51 (INTEL PENTUM M PROCESSOR 1.50GHZ/RAM-246MB/HDD-37GB/NO WEBCAM/14"")","Pre-Owned Laptops",5000
QCNBA000288,"Lenovo ThinkPad L420 (CORE I5 2520M 2.50GHZ/4GB/320GB/WEBCAM/14"")","Pre-Owned Laptops",12000
QCNBAG00702,"LENOVO THINKPAD X250(CORE I7 5600 2.60GHZ/4GB/1TB/WEB CAM/12.5"")","Pre-Owned Laptops",30250
QCDTAG00067,"DELL OPTIPLEX 330(DT)(CORE 2 DUO E7400 2.80GHZ/2GB/160GB/NO DVD)","Pre-Owned Desktops",4500
QCDTAG00065,"DELL OPTIPLEX 360(DT)(CORE 2 DUO E7500 2.93GHZ/2GB/160GB/NO DVD)","Pre-Owned Desktops",4500
QCDTAG00066,"DELL OPTIPLEX 380(DT)(CORE 2 DUO E7500 2.93GHZ/2GB/160GB/NO DVD)","Pre-Owned Desktops",4500
QCDTAG00058,"DELL OPTIPLEX 745(DT)(CORE 2 DUO 6300 1.86GHZ/2GB/160GB)","Pre-Owned Desktops",4500
QCDTAG00059,"DELL OPTIPLEX 745(MT)(CORE 2 DUO 6300 1.86GHZ/2GB/160GB/NO DVD)","Pre-Owned Desktops",4500
QCDTAG00068,"DELL OPTIPLEX 755(DT)(CORE 2 DUO E6550 2.33GHZ/2GB/160GB/NO DVD)","Pre-Owned Desktops",4500
